回路表記,部品名称,デジグネータ,個数,値,URL,URL,URL
RES_1608,抵抗,"R1, R2, R3, R4",4,1K,https://akizukidenshi.com/catalog/g/gR-14122/,,
RES_1608,抵抗,"R5, R6, R7, R14, R15, R16, R17, R18",8,10K,https://akizukidenshi.com/catalog/g/gR-06103/,,
RES_1608,抵抗,R8,1,47/1K（DS1に応じて変更）,https://akizukidenshi.com/catalog/g/gR-06470/,,
RES_1608,抵抗,"R9, R10, R11",3,220 ohm,https://akizukidenshi.com/catalog/g/gR-13833/,,
RES_AR3216,集合抵抗,R12,1,22 ohm,https://www.digikey.jp/product-detail/ja/panasonic-electronic-components/EXB-V8V220JV/Y4220CT-ND/155139,https://jp.rs-online.com/web/p/resistor-networks-resistor-arrays/5225456/,
RES_AR3216,集合抵抗,R13,1,10K,https://www.digikey.jp/product-detail/ja/panasonic-electronic-components/EXB-V8V103JV/Y4103CT-ND/155171,https://jp.rs-online.com/web/p/resistor-networks-resistor-arrays/5225412/,
CAP_1608,積層セラミックコンデンサ,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C19, C20, C22, C23, C24, C25, C26, C27, C28, C29",24,0.1uF,https://akizukidenshi.com/catalog/g/gP-13374/,,
CAP_1608,積層セラミックコンデンサ,"C15, C16",2,1uF,https://akizukidenshi.com/catalog/g/gP-13373/,https://akizukidenshi.com/catalog/g/gP-14526/,
CAP_1608,積層セラミックコンデンサ,"C17, C18",2,22pF,https://akizukidenshi.com/catalog/g/gP-11626/,https://akizukidenshi.com/catalog/g/gP-13313/,
CAP_3216,積層セラミックコンデンサ,"C30, C31",2,10uF,https://akizukidenshi.com/catalog/g/gP-12730/,https://akizukidenshi.com/catalog/g/gP-14741/,
FB_1608,フェライトビーズ,"L1, L2",2,BLM18RK471SN1D,https://akizukidenshi.com/catalog/g/gP-04444/,,
CG0603MLC,ESDサプレッサ,"D1, D2",2,,https://www.digikey.jp/product-detail/ja/bourns-inc/CG0603MLC-05E/CG0603MLC-05ECT-ND/3438061,,
